UTC 2023-10-29 02:13:02.633899,In0: 0.04	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.04,0.05,0.00,0.00,125,PSI:0.008,PSI:0.01,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:13:02.640934,In0: -0.00	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.00,0.02,0.00,0.00,166,PSI:-0.0,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.647454,In0: 0.01	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,-0.00,0.00,0.00,142,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.653932,In0: 0.01	 In1: 0.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.06,0.00,0.00,142,PSI:0.002,PSI:0.012,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.659479,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.664931,In0: -0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,-0.01,0.00,0.00,166,PSI:-0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.670519,In0: 0.01	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.03,0.00,0.00,200,PSI:0.002,PSI:0.006,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.677610,In0: 0.07	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.07,0.01,0.00,0.00,166,PSI:0.014000000000000002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.682945,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.01,0.01,0.00,0.00,142,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.689428,In0: 0.02	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.03,0.00,0.00,166,PSI:0.004,PSI:0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.694911,In0: -0.04	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.04,0.00,0.00,0.00,166,PSI:-0.008,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.701424,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.01,0.00,0.00,166,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.706922,In0: -0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.03,0.01,0.00,0.00,166,PSI:-0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.712882,In0: 0.00	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,-0.01,0.00,0.00,166,PSI:0.0,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.718400,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.01,0.00,0.00,200,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.724425,In0: 0.03	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,0.03,0.01,-0.00,0.00,166,PSI:0.006,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.730925,In0: -0.01	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.01,0.05,0.00,0.00,142,PSI:-0.002,PSI:0.01,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.737906,In0: -0.04	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.04,-0.02,0.00,0.00,142,PSI:-0.008,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.743963,In0: 0.01	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.03,0.00,0.00,200,PSI:0.002,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.749935,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.02,0.01,0.00,0.00,142,PSI:0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.756393,In0: 0.01	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.05,0.00,0.00,200,PSI:0.002,PSI:0.01,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.762926,In0: 0.02	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.02,0.00,0.00,0.00,125,PSI:0.004,PSI:0.0,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:13:02.768964,In0: -0.02	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,-0.01,0.00,0.00,166,PSI:-0.004,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.775587,In0: -0.02	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.02,0.02,0.00,0.00,200,PSI:-0.004,PSI:0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.781903,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.00,0.01,0.00,0.00,125,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:25.0
