UTC 2023-10-29 02:13:04.472896,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.474599,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.476327,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.478023,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.479741,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.481462,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.483196,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.485013,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.486682,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.488393,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.490108,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.491837,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.493523,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.495249,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.497065,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.498729,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.500508,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.502231,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.503884,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.505627,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.507409,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.509163,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.510774,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.512483,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.514187,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.515892,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.517648,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.519460,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.521133,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.522871,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.524569,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.526342,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.528082,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.529696,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.531476,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.533083,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.534865,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.536566,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.538319,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.540065,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.541817,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.543552,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.545208,V:0.00	 Sampling FPS:580,0.00,580
