UTC 2023-10-29 02:07:06.996186,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.997875,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.999455,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.001195,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.002944,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.004671,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.006326,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.008048,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.009772,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.011552,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.013309,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.014943,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.016788,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.018467,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.020127,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:07.021913,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.023571,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.025287,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.027039,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.028738,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.030477,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.032252,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.033982,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.035747,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.037371,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.039092,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.040807,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.042513,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.044363,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.046015,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.047764,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.049498,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.051196,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.052947,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:07.054663,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.056371,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:07.058107,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:07.059825,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.061566,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:07.063347,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:07.064969,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:07.066672,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.068454,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.070229,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.071868,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.073597,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.075330,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.077045,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.078813,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.080532,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.082207,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.084015,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.085743,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.087427,V:0.59	 Sampling FPS:580,0.59,580
UTC 2023-10-29 02:07:07.089157,V:0.59	 Sampling FPS:580,0.59,580
UTC 2023-10-29 02:07:07.090846,V:0.59	 Sampling FPS:580,0.59,580
UTC 2023-10-29 02:07:07.092628,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.094293,V:0.59	 Sampling FPS:580,0.59,580
UTC 2023-10-29 02:07:07.096012,V:0.59	 Sampling FPS:580,0.59,580
UTC 2023-10-29 02:07:07.097744,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.099486,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.101244,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.102940,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.104663,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.106425,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.108108,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.109808,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.111613,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.113281,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.115051,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.116713,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.118464,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.120248,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.121928,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.123606,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.125313,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.127031,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.128786,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.130555,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.132283,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.133976,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.135791,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.137470,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.139179,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.140853,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.142555,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.144259,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.146087,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.147777,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.149438,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.151242,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.152986,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.154683,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.156333,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.158038,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.159809,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.161509,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.163405,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.165061,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.166799,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.168505,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.170209,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.171975,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.173603,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.175317,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.177039,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.178845,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.180493,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.182285,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.183964,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.185764,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.187511,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.189199,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.190872,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.192561,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.194302,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.196066,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.197744,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.199448,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.201233,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.203034,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.204722,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.206334,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.208134,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.209786,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.211594,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.213245,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.214947,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.216725,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.218521,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.220211,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.221913,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.223597,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.225345,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.227114,V:0.59	 Sampling FPS:580,0.59,580
UTC 2023-10-29 02:07:07.228800,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.230497,V:0.61	 Sampling FPS:580,0.61,580
