UTC 2023-10-29 02:07:09.641862,In0: 0.02	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.00,0.00,0.00,166,PSI:0.004,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.647896,In0: -0.07	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.07,0.01,0.00,0.00,166,PSI:-0.014000000000000002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.654424,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.00,0.01,0.00,0.00,200,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.661906,In0: -0.01	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 111,-0.01,0.01,-0.00,0.00,111,PSI:-0.002,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:22.2
UTC 2023-10-29 02:07:09.668582,In0: -0.03	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.03,0.00,0.00,0.00,166,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.674864,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.00,0.00,0.00,142,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:07:09.681367,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.02,0.00,0.00,166,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.686899,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.01,0.00,0.00,166,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.693388,In0: -0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.03,0.01,0.00,0.00,166,PSI:-0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.699923,In0: 0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.00,0.00,0.00,142,PSI:0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:28.4
