UTC 2023-10-06 06:20:03.688052,In0: 5.25	 In1: 6.94	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.25,6.94,0.56,0.00,142,PSI:1.05,PSI:1.3880000000000001,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.694765,In0: 5.25	 In1: 6.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.25,6.56,0.19,0.00,166,PSI:1.05,PSI:1.3119999999999998,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.701451,In0: 5.06	 In1: 7.12	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,7.12,0.37,0.00,142,PSI:1.012,PSI:1.424,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.708374,In0: 5.25	 In1: 7.12	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,7.12,-0.19,0.00,142,PSI:1.05,PSI:1.424,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.715276,In0: 5.06	 In1: 7.12	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.06,7.12,0.56,0.00,142,PSI:1.012,PSI:1.424,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.721945,In0: 5.25	 In1: 7.12	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,7.12,-0.19,0.00,166,PSI:1.05,PSI:1.424,PSI:-0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.741727,In0: 5.06	 In1: 7.87	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,7.87,0.19,0.00,166,PSI:1.012,PSI:1.574,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.743027,In0: 4.87	 In1: 7.12	 In0_1: 0.56	 In1_1: 0.19	 FPS: 142,4.87,7.12,0.56,0.19,142,PSI:0.974,PSI:1.424,PSI:0.11200000000000002,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:20:03.743218,In0: 4.87	 In1: 7.12	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,4.87,7.12,-0.19,0.00,142,PSI:0.974,PSI:1.424,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.749174,In0: 5.25	 In1: 7.12	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.25,7.12,0.56,0.00,142,PSI:1.05,PSI:1.424,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.755844,In0: 5.25	 In1: 7.69	 In0_1: 0.19	 In1_1: -0.19	 FPS: 166,5.25,7.69,0.19,-0.19,166,PSI:1.05,PSI:1.538,PSI:0.038,PSI:-0.038,PSI:33.2
UTC 2023-10-06 06:20:03.762852,In0: 5.44	 In1: 7.31	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.44,7.31,0.19,-0.19,142,PSI:1.088,PSI:1.462,PSI:0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:20:03.769367,In0: 5.44	 In1: 7.50	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.44,7.50,-0.19,0.00,142,PSI:1.088,PSI:1.5,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.776156,In0: 5.06	 In1: 6.75	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,6.75,0.37,0.00,142,PSI:1.012,PSI:1.35,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.782960,In0: 5.06	 In1: 7.31	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.06,7.31,0.37,0.19,142,PSI:1.012,PSI:1.462,PSI:0.074,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:20:03.789975,In0: 4.87	 In1: 6.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,4.87,6.56,0.19,0.00,166,PSI:0.974,PSI:1.3119999999999998,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.796890,In0: 5.25	 In1: 7.12	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,7.12,0.37,0.00,142,PSI:1.05,PSI:1.424,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.803341,In0: 4.87	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,6.56,0.00,0.00,142,PSI:0.974,PSI:1.3119999999999998,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.810133,In0: 5.06	 In1: 6.37	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,6.37,0.37,0.00,142,PSI:1.012,PSI:1.274,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.816890,In0: 4.87	 In1: 6.37	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,4.87,6.37,0.37,0.00,166,PSI:0.974,PSI:1.274,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.823641,In0: 5.25	 In1: 6.94	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,6.94,-0.19,0.00,142,PSI:1.05,PSI:1.3880000000000001,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.830522,In0: 5.06	 In1: 6.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,6.56,0.19,0.00,142,PSI:1.012,PSI:1.3119999999999998,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.837296,In0: 5.25	 In1: 6.75	 In0_1: 0.75	 In1_1: 0.00	 FPS: 142,5.25,6.75,0.75,0.00,142,PSI:1.05,PSI:1.35,PSI:0.15,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.844081,In0: 4.87	 In1: 6.37	 In0_1: 0.56	 In1_1: -0.19	 FPS: 142,4.87,6.37,0.56,-0.19,142,PSI:0.974,PSI:1.274,PSI:0.11200000000000002,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:20:03.850770,In0: 5.06	 In1: 6.56	 In0_1: 0.56	 In1_1: 0.19	 FPS: 166,5.06,6.56,0.56,0.19,166,PSI:1.012,PSI:1.3119999999999998,PSI:0.11200000000000002,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:20:03.857693,In0: 5.25	 In1: 6.56	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,6.56,0.37,0.00,142,PSI:1.05,PSI:1.3119999999999998,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.864627,In0: 5.25	 In1: 6.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,6.94,0.19,0.00,142,PSI:1.05,PSI:1.3880000000000001,PSI:0.038,PSI:0.0,PSI:28.4
