UTC 2023-10-06 04:48:16.171525,In0: 5.25	 In1: 537.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,537.94,0.00,0.00,142
UTC 2023-10-06 04:48:16.178370,In0: 5.06	 In1: 537.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,537.00,0.00,0.00,142
UTC 2023-10-06 04:48:16.185107,In0: 5.06	 In1: 538.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.87,0.00,0.00,142
UTC 2023-10-06 04:48:16.191959,In0: 5.06	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,538.69,0.00,0.00,166
UTC 2023-10-06 04:48:16.198792,In0: 5.25	 In1: 537.75	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,537.75,-0.19,0.00,142
UTC 2023-10-06 04:48:16.205547,In0: 4.87	 In1: 537.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,537.00,0.00,0.00,142
UTC 2023-10-06 04:48:16.212297,In0: 5.44	 In1: 538.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.44,538.69,0.19,0.00,142
UTC 2023-10-06 04:48:16.218924,In0: 4.87	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,538.12,0.00,0.00,142
UTC 2023-10-06 04:48:16.225825,In0: 5.62	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.62,538.12,0.00,0.00,166
UTC 2023-10-06 04:48:16.232539,In0: 4.87	 In1: 538.31	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,4.87,538.31,-0.19,0.19,142
UTC 2023-10-06 04:48:16.239305,In0: 5.06	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.06,0.00,0.00,142
UTC 2023-10-06 04:48:16.246101,In0: 4.69	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.69,538.12,0.00,0.00,142
UTC 2023-10-06 04:48:16.252848,In0: 5.06	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.06,538.12,0.00,0.19,166
UTC 2023-10-06 04:48:16.260109,In0: 4.87	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,538.31,0.00,0.00,142
