UTC 2023-10-06 04:28:44.844312,In0: 5.06	 In1: 533.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,533.25,0.00,0.00,142
UTC 2023-10-06 04:28:44.851084,In0: 4.87	 In1: 532.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,532.31,0.00,0.00,142
UTC 2023-10-06 04:28:44.857824,In0: 5.06	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,534.56,0.00,0.00,166
UTC 2023-10-06 04:28:44.864900,In0: 5.06	 In1: 532.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.69,0.00,0.00,142
UTC 2023-10-06 04:28:44.871817,In0: 5.06	 In1: 531.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.94,0.00,0.00,142
UTC 2023-10-06 04:28:44.878790,In0: 5.25	 In1: 531.56	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,531.56,0.00,0.19,142
UTC 2023-10-06 04:28:44.885602,In0: 5.06	 In1: 532.12	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.06,532.12,0.00,-0.19,166
UTC 2023-10-06 04:28:44.892132,In0: 5.06	 In1: 533.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,533.25,0.00,0.00,142
UTC 2023-10-06 04:28:44.898579,In0: 5.25	 In1: 532.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,532.31,0.00,0.00,142
UTC 2023-10-06 04:28:44.905244,In0: 4.87	 In1: 532.69	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,532.69,0.00,-0.19,142
UTC 2023-10-06 04:28:44.911969,In0: 5.06	 In1: 532.12	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,532.12,-0.19,0.00,142
UTC 2023-10-06 04:28:44.918753,In0: 5.25	 In1: 531.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,531.94,0.00,0.00,166
UTC 2023-10-06 04:28:44.925527,In0: 7.12	 In1: 533.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,7.12,533.44,0.00,0.00,142
UTC 2023-10-06 04:28:44.932335,In0: 6.19	 In1: 531.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.19,531.75,0.00,0.00,142
UTC 2023-10-06 04:28:44.939189,In0: 6.56	 In1: 532.12	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,6.56,532.12,0.00,-0.19,142
UTC 2023-10-06 04:28:44.945867,In0: 6.56	 In1: 532.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,6.56,532.87,0.00,0.00,166
UTC 2023-10-06 04:28:44.952703,In0: 6.56	 In1: 531.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,6.56,531.75,0.19,0.00,142
UTC 2023-10-06 04:28:44.959439,In0: 6.75	 In1: 532.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.75,532.69,0.00,0.00,142
UTC 2023-10-06 04:28:44.966199,In0: 6.56	 In1: 531.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.56,531.56,0.00,0.00,142
UTC 2023-10-06 04:28:44.973043,In0: 6.37	 In1: 531.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.37,531.75,0.00,0.00,142
UTC 2023-10-06 04:28:44.979762,In0: 6.00	 In1: 531.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,6.00,531.75,0.19,0.00,166
UTC 2023-10-06 04:28:44.986535,In0: 6.56	 In1: 532.50	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,6.56,532.50,0.00,-0.19,142
UTC 2023-10-06 04:28:44.993342,In0: 6.00	 In1: 532.87	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,6.00,532.87,0.19,0.19,142
UTC 2023-10-06 04:28:45.000266,In0: 5.81	 In1: 531.37	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.81,531.37,0.00,-0.19,142
UTC 2023-10-06 04:28:45.006975,In0: 6.00	 In1: 532.12	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,6.00,532.12,0.00,-0.19,166
UTC 2023-10-06 04:28:45.013731,In0: 5.62	 In1: 531.19	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.62,531.19,0.00,-0.19,166
UTC 2023-10-06 04:28:45.020628,In0: 6.75	 In1: 533.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.75,533.44,0.00,0.00,142
UTC 2023-10-06 04:28:45.027376,In0: 6.19	 In1: 532.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.19,532.87,0.00,0.00,142
UTC 2023-10-06 04:28:45.034043,In0: 5.81	 In1: 530.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.81,530.62,0.00,0.00,142
UTC 2023-10-06 04:28:45.040901,In0: 6.00	 In1: 529.31	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,6.00,529.31,-0.19,0.00,166
UTC 2023-10-06 04:28:45.047661,In0: 6.75	 In1: 532.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.75,532.69,0.00,0.00,142
UTC 2023-10-06 04:28:45.054811,In0: 5.44	 In1: 534.19	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.44,534.19,0.00,-0.19,142
UTC 2023-10-06 04:28:45.061192,In0: 6.00	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.00,534.56,0.00,0.00,142
UTC 2023-10-06 04:28:45.068037,In0: 6.56	 In1: 532.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,6.56,532.69,0.00,0.00,166
UTC 2023-10-06 04:28:45.074825,In0: 6.75	 In1: 532.12	 In0_1: 0.19	 In1_1: -0.19	 FPS: 166,6.75,532.12,0.19,-0.19,166
UTC 2023-10-06 04:28:45.081642,In0: 6.19	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.19,532.12,0.00,0.00,142
UTC 2023-10-06 04:28:45.088513,In0: 6.00	 In1: 531.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.00,531.56,0.00,0.00,142
UTC 2023-10-06 04:28:45.095093,In0: 7.12	 In1: 532.87	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,7.12,532.87,0.00,0.19,142
UTC 2023-10-06 04:28:45.102028,In0: 6.00	 In1: 534.56	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,6.00,534.56,-0.19,0.00,166
UTC 2023-10-06 04:28:45.108623,In0: 6.37	 In1: 532.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.37,532.31,0.00,0.00,142
UTC 2023-10-06 04:28:45.115424,In0: 5.81	 In1: 532.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.81,532.69,0.00,0.00,142
UTC 2023-10-06 04:28:45.122348,In0: 6.75	 In1: 533.06	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,6.75,533.06,-0.19,0.19,142
UTC 2023-10-06 04:28:45.128946,In0: 6.56	 In1: 533.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,6.56,533.81,0.00,0.00,166
UTC 2023-10-06 04:28:45.135705,In0: 6.37	 In1: 531.75	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,6.37,531.75,0.00,-0.19,166
UTC 2023-10-06 04:28:45.142566,In0: 6.56	 In1: 531.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.56,531.94,0.00,0.00,142
UTC 2023-10-06 04:28:45.149238,In0: 6.75	 In1: 531.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,6.75,531.19,0.00,0.00,142
UTC 2023-10-06 04:28:45.156167,In0: 5.06	 In1: 532.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.31,0.00,0.00,142
UTC 2023-10-06 04:28:45.162831,In0: 5.06	 In1: 532.50	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,532.50,0.19,0.00,166
UTC 2023-10-06 04:28:45.169666,In0: 5.25	 In1: 532.87	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,532.87,0.19,0.00,142
UTC 2023-10-06 04:28:45.176442,In0: 4.87	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,532.12,0.00,0.00,142
UTC 2023-10-06 04:28:45.183189,In0: 5.06	 In1: 531.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.00,0.00,0.00,142
UTC 2023-10-06 04:28:45.190059,In0: 5.25	 In1: 532.87	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.25,532.87,0.00,0.19,166
UTC 2023-10-06 04:28:45.196805,In0: 4.87	 In1: 531.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,4.87,531.37,0.00,0.19,166
UTC 2023-10-06 04:28:45.203772,In0: 4.87	 In1: 532.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,532.69,0.00,0.00,142
UTC 2023-10-06 04:28:45.210298,In0: 5.06	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.12,0.00,0.00,142
UTC 2023-10-06 04:28:45.217242,In0: 4.87	 In1: 531.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,531.19,0.00,0.00,142
UTC 2023-10-06 04:28:45.223926,In0: 5.25	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.25,532.12,0.00,0.19,166
UTC 2023-10-06 04:28:45.230671,In0: 5.06	 In1: 532.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.69,0.00,0.00,142
UTC 2023-10-06 04:28:45.237613,In0: 5.06	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.12,0.00,0.00,142
UTC 2023-10-06 04:28:45.244233,In0: 4.87	 In1: 532.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,532.69,0.00,0.00,142
UTC 2023-10-06 04:28:45.251045,In0: 5.06	 In1: 533.25	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.06,533.25,0.19,-0.19,142
UTC 2023-10-06 04:28:45.257890,In0: 5.06	 In1: 532.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,532.31,0.00,0.00,166
UTC 2023-10-06 04:28:45.264571,In0: 5.25	 In1: 533.62	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.25,533.62,0.19,0.19,142
UTC 2023-10-06 04:28:45.271653,In0: 5.25	 In1: 531.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,531.37,0.00,0.19,142
UTC 2023-10-06 04:28:45.278147,In0: 5.06	 In1: 533.44	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,533.44,0.00,-0.19,142
UTC 2023-10-06 04:28:45.284965,In0: 4.87	 In1: 533.81	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,4.87,533.81,0.00,-0.19,166
UTC 2023-10-06 04:28:45.291771,In0: 5.06	 In1: 532.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,532.87,0.00,0.00,166
UTC 2023-10-06 04:28:45.298548,In0: 5.06	 In1: 534.00	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.06,534.00,0.19,0.19,142
UTC 2023-10-06 04:28:45.305412,In0: 4.87	 In1: 534.00	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,4.87,534.00,-0.19,0.00,142
UTC 2023-10-06 04:28:45.312046,In0: 5.06	 In1: 532.31	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.06,532.31,0.19,-0.19,142
UTC 2023-10-06 04:28:45.319053,In0: 4.87	 In1: 529.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,529.69,0.00,0.00,166
UTC 2023-10-06 04:28:45.325683,In0: 5.06	 In1: 530.62	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,530.62,0.00,0.19,142
UTC 2023-10-06 04:28:45.332422,In0: 5.25	 In1: 532.69	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,532.69,-0.19,0.00,142
UTC 2023-10-06 04:28:45.339357,In0: 5.25	 In1: 533.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,533.25,0.00,0.00,142
UTC 2023-10-06 04:28:45.346054,In0: 4.87	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,532.12,0.00,0.00,166
