UTC 2023-10-06 04:30:21.714271,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714304,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714338,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714374,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714408,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714459,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.714494,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714528,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714563,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714596,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714631,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714682,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.714722,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714758,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714791,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714828,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714863,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714915,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.714952,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714988,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715024,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715062,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715101,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715150,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.715185,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715218,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715252,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715286,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715320,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715370,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.715406,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715445,Raw mV:0.00,0
