UTC 2023-10-06 04:52:11.491395,In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.00,142
UTC 2023-10-06 04:52:11.905118,In0: 5.06	 In1: 536.25	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,536.25,0.00,-0.19,142
UTC 2023-10-06 04:52:11.911747,In0: 4.87	 In1: 535.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,535.69,0.00,0.00,142
UTC 2023-10-06 04:52:11.918496,In0: 5.06	 In1: 536.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,536.25,0.00,0.00,166
UTC 2023-10-06 04:52:11.925333,In0: 5.06	 In1: 535.50	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,535.50,0.19,0.00,142
UTC 2023-10-06 04:52:11.932040,In0: 5.06	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,535.12,0.00,0.00,142
UTC 2023-10-06 04:52:11.938862,In0: 4.87	 In1: 534.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,534.37,0.00,0.00,142
UTC 2023-10-06 04:52:11.945748,In0: 5.06	 In1: 535.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,535.69,0.19,0.00,166
UTC 2023-10-06 04:52:11.952508,In0: 5.06	 In1: 534.75	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,534.75,-0.19,0.00,142
UTC 2023-10-06 04:52:11.959203,In0: 5.06	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,535.12,0.00,0.00,142
UTC 2023-10-06 04:52:11.965911,In0: 5.06	 In1: 536.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,536.25,0.19,0.00,142
UTC 2023-10-06 04:52:11.972685,In0: 5.25	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,534.56,0.00,0.00,142
UTC 2023-10-06 04:52:11.979596,In0: 4.87	 In1: 535.50	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,4.87,535.50,0.00,0.19,166
UTC 2023-10-06 04:52:11.986384,In0: 5.06	 In1: 536.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,536.25,0.00,0.00,142
UTC 2023-10-06 04:52:11.993136,In0: 5.44	 In1: 535.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,535.87,0.00,0.00,142
UTC 2023-10-06 04:52:11.999869,In0: 5.06	 In1: 534.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,534.37,0.00,0.00,142
UTC 2023-10-06 04:52:12.006663,In0: 5.06	 In1: 534.75	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.06,534.75,0.00,0.19,166
UTC 2023-10-06 04:52:12.013475,In0: 4.87	 In1: 534.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,534.19,0.00,0.00,142
UTC 2023-10-06 04:52:12.020121,In0: 5.06	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,534.56,0.00,0.00,142
UTC 2023-10-06 04:52:12.027162,In0: 5.06	 In1: 534.00	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,5.06,534.00,-0.19,0.19,142
UTC 2023-10-06 04:52:12.033707,In0: 4.87	 In1: 535.12	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,4.87,535.12,-0.19,0.19,142
