UTC 2023-10-29 02:09:46.658858,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.660601,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.662312,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.664010,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.665729,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.667632,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.669250,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.670963,V:0.24	 Sampling FPS:580,0.24,580
UTC 2023-10-29 02:09:46.672674,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.674388,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.676187,V:0.24	 Sampling FPS:580,0.24,580
UTC 2023-10-29 02:09:46.677810,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.679590,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.681274,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.682946,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.684785,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.686469,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.688234,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.689964,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.691660,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.693399,V:0.24	 Sampling FPS:580,0.24,580
UTC 2023-10-29 02:09:46.695157,V:0.24	 Sampling FPS:580,0.24,580
UTC 2023-10-29 02:09:46.696832,V:0.24	 Sampling FPS:580,0.24,580
UTC 2023-10-29 02:09:46.698648,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.700271,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.702088,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.703760,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.705471,V:0.22	 Sampling FPS:580,0.22,580
