UTC 2023-10-29 02:09:44.323699,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.00,0.00,0.00,200,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.330185,In0: 0.04	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.04,0.00,0.00,0.00,125,PSI:0.008,PSI:0.0,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:09:44.335639,In0: -0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.01,0.00,0.00,0.00,200,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.342137,In0: -0.04	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.04,0.01,0.00,0.00,142,PSI:-0.008,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:09:44.347650,In0: -0.00	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.00,-0.00,0.00,0.00,200,PSI:-0.0,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.353133,In0: -0.04	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.04,0.01,0.00,0.00,166,PSI:-0.008,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.359696,In0: -0.02	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,-0.00,0.00,0.00,166,PSI:-0.004,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.365196,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.371668,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.01,0.00,0.00,166,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.378149,In0: 0.06	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.06,-0.02,0.00,0.00,142,PSI:0.012,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:09:44.384718,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.02,0.00,0.00,166,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.390151,In0: -0.00	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.00,-0.02,0.00,0.00,166,PSI:-0.0,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
