UTC 2023-10-29 01:46:21.182171,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.01,0.00,0.00,166,PSI:0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.188182,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.194669,In0: 0.01	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.05,0.00,0.00,200,PSI:0.002,PSI:0.01,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.200165,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.01,0.00,0.00,142,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.206681,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.212258,In0: -0.02	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,0.00,0.00,0.00,166,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.217704,In0: -0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.02,0.01,0.00,0.00,200,PSI:-0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.223167,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.02,0.00,0.00,166,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.229678,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.02,0.00,0.00,166,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.235671,In0: 0.05	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.05,0.01,0.00,0.00,166,PSI:0.01,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.242992,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.249044,In0: 0.00	 In1: -0.01	 In0_1: 0.00	 In1_1: -0.00	 FPS: 166,0.00,-0.01,0.00,-0.00,166,PSI:0.0,PSI:-0.002,PSI:0.0,PSI:-0.0,PSI:33.2
UTC 2023-10-29 01:46:21.254202,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.00,0.00,0.00,142,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.260911,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.02,0.00,0.00,166,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.266154,In0: 0.05	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.05,0.05,0.00,0.00,166,PSI:0.01,PSI:0.01,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.271639,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.278150,In0: 0.01	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.05,0.00,0.00,142,PSI:0.002,PSI:0.01,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.283627,In0: -0.05	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.05,0.01,0.00,0.00,200,PSI:-0.01,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.289175,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.294648,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: -0.00	 FPS: 200,0.01,-0.01,0.00,-0.00,200,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:-0.0,PSI:40.0
UTC 2023-10-29 01:46:21.300205,In0: 0.02	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,-0.00,0.00,0.00,166,PSI:0.004,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.306655,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.02,0.00,0.00,166,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.313720,In0: 0.01	 In1: -0.04	 In0_1: 0.00	 In1_1: -0.00	 FPS: 166,0.01,-0.04,0.00,-0.00,166,PSI:0.002,PSI:-0.008,PSI:0.0,PSI:-0.0,PSI:33.2
UTC 2023-10-29 01:46:21.319175,In0: 0.08	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.08,-0.01,0.00,0.00,142,PSI:0.016,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.324727,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.00,0.00,0.00,200,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.331238,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,-0.02,0.00,0.00,142,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.337699,In0: 0.05	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.05,0.00,0.00,0.00,166,PSI:0.01,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.343277,In0: -0.01	 In1: -0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,-0.05,0.00,0.00,166,PSI:-0.002,PSI:-0.01,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.348754,In0: 0.01	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.05,0.00,0.00,200,PSI:0.002,PSI:0.01,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.354154,In0: 0.04	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.04,0.01,0.00,0.00,166,PSI:0.008,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.360706,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.01,0.00,0.00,166,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.366201,In0: -0.02	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,0.00,0.00,0.00,166,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.372730,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.02,0.00,0.00,166,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.379815,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: -0.00	 FPS: 166,0.01,0.02,0.00,-0.00,166,PSI:0.002,PSI:0.004,PSI:0.0,PSI:-0.0,PSI:33.2
UTC 2023-10-29 01:46:21.386797,In0: -0.03	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.03,0.05,0.00,0.00,142,PSI:-0.006,PSI:0.01,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.392165,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.02,0.00,0.00,142,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.398734,In0: 0.01	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.00,0.00,0.00,166,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.404201,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.409677,In0: 0.01	 In1: -0.03	 In0_1: 0.00	 In1_1: -0.00	 FPS: 200,0.01,-0.03,0.00,-0.00,200,PSI:0.002,PSI:-0.006,PSI:0.0,PSI:-0.0,PSI:40.0
UTC 2023-10-29 01:46:21.415259,In0: 0.01	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.03,0.00,0.00,166,PSI:0.002,PSI:0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.421731,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.01,0.00,0.00,166,PSI:0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.427723,In0: -0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.02,0.00,0.00,166,PSI:-0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.433308,In0: 0.04	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.04,0.02,0.00,0.00,166,PSI:0.008,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.438684,In0: -0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.02,0.01,0.00,0.00,200,PSI:-0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.444163,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.449688,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.455201,In0: 0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.03,0.01,0.00,0.00,166,PSI:0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.461710,In0: 0.02	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.05,0.00,0.00,166,PSI:0.004,PSI:0.01,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.467713,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: -0.00	 FPS: 166,0.01,0.02,0.00,-0.00,166,PSI:0.002,PSI:0.004,PSI:0.0,PSI:-0.0,PSI:33.2
UTC 2023-10-29 01:46:21.473243,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.01,0.00,0.00,166,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.478736,In0: 0.01	 In1: -0.03	 In0_1: 0.00	 In1_1: -0.00	 FPS: 200,0.01,-0.03,0.00,-0.00,200,PSI:0.002,PSI:-0.006,PSI:0.0,PSI:-0.0,PSI:40.0
UTC 2023-10-29 01:46:21.485148,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.01,0.00,0.00,142,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.491177,In0: 0.01	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,-0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.496695,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.502186,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.01,0.00,0.00,166,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.507725,In0: 0.01	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.03,0.00,0.00,200,PSI:0.002,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.513237,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.519209,In0: 0.02	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.03,0.00,0.00,166,PSI:0.004,PSI:0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.525650,In0: -0.01	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,-0.00,0.00,0.00,166,PSI:-0.002,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.532226,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.00,0.00,0.00,142,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.537713,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.02,0.00,0.00,200,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.543139,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.548724,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.01,0.00,0.00,200,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.555153,In0: 0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.00,0.00,0.00,142,PSI:0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:28.4
