UTC 2023-10-06 01:06:25.099435,In0_1: 560.06	 In1_1: 555.94	 FPS: 142,560.06,555.94,142
UTC 2023-10-06 01:06:25.553534,In0: -1.50	 In1: -3.37	 In0_1: 559.69	 In1_1: 559.31	 FPS: 166,-1.50,-3.37,559.69,559.31,166
UTC 2023-10-06 01:06:25.560184,In0: -0.56	 In1: 0.00	 In0_1: 561.56	 In1_1: 557.06	 FPS: 142,-0.56,0.00,561.56,557.06,142
UTC 2023-10-06 01:06:25.567032,In0: -2.44	 In1: -1.87	 In0_1: 559.12	 In1_1: 562.87	 FPS: 142,-2.44,-1.87,559.12,562.87,142
UTC 2023-10-06 01:06:25.574000,In0: -0.94	 In1: -0.56	 In0_1: 558.00	 In1_1: 552.37	 FPS: 142,-0.94,-0.56,558.00,552.37,142
UTC 2023-10-06 01:06:25.580616,In0: -1.87	 In1: 0.00	 In0_1: 559.69	 In1_1: 557.25	 FPS: 142,-1.87,0.00,559.69,557.25,142
UTC 2023-10-06 01:06:25.587508,In0: -1.31	 In1: -0.75	 In0_1: 558.75	 In1_1: 555.19	 FPS: 166,-1.31,-0.75,558.75,555.19,166
UTC 2023-10-06 01:06:25.594239,In0: -1.31	 In1: -0.56	 In0_1: 559.69	 In1_1: 558.19	 FPS: 142,-1.31,-0.56,559.69,558.19,142
UTC 2023-10-06 01:06:25.601020,In0: -0.75	 In1: -1.50	 In0_1: 558.37	 In1_1: 554.62	 FPS: 142,-0.75,-1.50,558.37,554.62,142
UTC 2023-10-06 01:06:25.607813,In0: -1.87	 In1: -2.62	 In0_1: 559.12	 In1_1: 551.81	 FPS: 142,-1.87,-2.62,559.12,551.81,142
UTC 2023-10-06 01:06:25.614641,In0: -1.12	 In1: -2.06	 In0_1: 558.56	 In1_1: 553.50	 FPS: 142,-1.12,-2.06,558.56,553.50,142
UTC 2023-10-06 01:06:25.621559,In0: -1.87	 In1: -2.62	 In0_1: 559.12	 In1_1: 558.37	 FPS: 166,-1.87,-2.62,559.12,558.37,166
UTC 2023-10-06 01:06:25.628221,In0: 0.00	 In1: -2.62	 In0_1: 555.94	 In1_1: 554.44	 FPS: 142,0.00,-2.62,555.94,554.44,142
UTC 2023-10-06 01:06:25.635159,In0: 0.19	 In1: -0.75	 In0_1: 553.69	 In1_1: 558.19	 FPS: 142,0.19,-0.75,553.69,558.19,142
UTC 2023-10-06 01:06:25.641915,In0: -1.31	 In1: -2.62	 In0_1: 558.37	 In1_1: 554.81	 FPS: 142,-1.31,-2.62,558.37,554.81,142
UTC 2023-10-06 01:06:25.648671,In0: 0.19	 In1: -1.31	 In0_1: 560.62	 In1_1: 555.37	 FPS: 142,0.19,-1.31,560.62,555.37,142
UTC 2023-10-06 01:06:25.655810,In0: -2.25	 In1: -2.62	 In0_1: 558.19	 In1_1: 553.31	 FPS: 166,-2.25,-2.62,558.19,553.31,166
UTC 2023-10-06 01:06:25.662277,In0: 0.37	 In1: -0.56	 In0_1: 560.06	 In1_1: 556.69	 FPS: 142,0.37,-0.56,560.06,556.69,142
UTC 2023-10-06 01:06:25.669167,In0: 0.19	 In1: -0.37	 In0_1: 556.12	 In1_1: 558.37	 FPS: 142,0.19,-0.37,556.12,558.37,142
UTC 2023-10-06 01:06:25.676162,In0: -2.62	 In1: -0.75	 In0_1: 558.75	 In1_1: 557.81	 FPS: 142,-2.62,-0.75,558.75,557.81,142
UTC 2023-10-06 01:06:25.682970,In0: -2.25	 In1: 0.37	 In0_1: 553.69	 In1_1: 560.06	 FPS: 142,-2.25,0.37,553.69,560.06,142
UTC 2023-10-06 01:06:25.689892,In0: -2.06	 In1: -2.81	 In0_1: 555.56	 In1_1: 556.12	 FPS: 166,-2.06,-2.81,555.56,556.12,166
UTC 2023-10-06 01:06:25.696371,In0: -1.87	 In1: -0.94	 In0_1: 559.31	 In1_1: 562.12	 FPS: 142,-1.87,-0.94,559.31,562.12,142
UTC 2023-10-06 01:06:25.703304,In0: -1.12	 In1: -0.37	 In0_1: 557.62	 In1_1: 552.19	 FPS: 142,-1.12,-0.37,557.62,552.19,142
UTC 2023-10-06 01:06:25.709880,In0: -1.12	 In1: -1.69	 In0_1: 566.44	 In1_1: 555.37	 FPS: 142,-1.12,-1.69,566.44,555.37,142
UTC 2023-10-06 01:06:25.716680,In0: -0.94	 In1: -1.50	 In0_1: 560.06	 In1_1: 558.75	 FPS: 142,-0.94,-1.50,560.06,558.75,142
UTC 2023-10-06 01:06:25.723444,In0: -0.94	 In1: -1.87	 In0_1: 553.12	 In1_1: 552.75	 FPS: 166,-0.94,-1.87,553.12,552.75,166
UTC 2023-10-06 01:06:25.730205,In0: -0.37	 In1: 0.19	 In0_1: 559.87	 In1_1: 550.50	 FPS: 142,-0.37,0.19,559.87,550.50,142
UTC 2023-10-06 01:06:25.737106,In0: -2.44	 In1: -2.62	 In0_1: 561.00	 In1_1: 558.56	 FPS: 142,-2.44,-2.62,561.00,558.56,142
UTC 2023-10-06 01:06:25.743856,In0: -0.75	 In1: -1.50	 In0_1: 563.06	 In1_1: 562.69	 FPS: 142,-0.75,-1.50,563.06,562.69,142
UTC 2023-10-06 01:06:25.750652,In0: -0.75	 In1: -2.06	 In0_1: 555.94	 In1_1: 558.94	 FPS: 142,-0.75,-2.06,555.94,558.94,142
UTC 2023-10-06 01:06:25.757518,In0: -0.19	 In1: -1.87	 In0_1: 561.56	 In1_1: 561.19	 FPS: 166,-0.19,-1.87,561.56,561.19,166
UTC 2023-10-06 01:06:25.764276,In0: -2.62	 In1: -2.06	 In0_1: 554.62	 In1_1: 558.56	 FPS: 142,-2.62,-2.06,554.62,558.56,142
UTC 2023-10-06 01:06:25.771350,In0: -2.81	 In1: -0.75	 In0_1: 556.31	 In1_1: 558.19	 FPS: 142,-2.81,-0.75,556.31,558.19,142
UTC 2023-10-06 01:06:25.777853,In0: -0.19	 In1: -2.62	 In0_1: 562.50	 In1_1: 558.19	 FPS: 142,-0.19,-2.62,562.50,558.19,142
UTC 2023-10-06 01:06:25.784720,In0: -0.75	 In1: -0.37	 In0_1: 560.25	 In1_1: 560.81	 FPS: 142,-0.75,-0.37,560.25,560.81,142
UTC 2023-10-06 01:06:25.791483,In0: -1.87	 In1: -2.25	 In0_1: 555.56	 In1_1: 558.37	 FPS: 166,-1.87,-2.25,555.56,558.37,166
UTC 2023-10-06 01:06:25.798281,In0: 0.00	 In1: -2.25	 In0_1: 559.69	 In1_1: 550.50	 FPS: 142,0.00,-2.25,559.69,550.50,142
UTC 2023-10-06 01:06:25.805066,In0: -1.69	 In1: -0.94	 In0_1: 556.87	 In1_1: 552.37	 FPS: 142,-1.69,-0.94,556.87,552.37,142
UTC 2023-10-06 01:06:25.811945,In0: -0.37	 In1: 0.37	 In0_1: 558.37	 In1_1: 562.12	 FPS: 142,-0.37,0.37,558.37,562.12,142
UTC 2023-10-06 01:06:25.818709,In0: -2.25	 In1: -0.94	 In0_1: 552.37	 In1_1: 557.62	 FPS: 142,-2.25,-0.94,552.37,557.62,142
UTC 2023-10-06 01:06:25.825670,In0: -1.12	 In1: -1.50	 In0_1: 556.69	 In1_1: 558.19	 FPS: 166,-1.12,-1.50,556.69,558.19,166
UTC 2023-10-06 01:06:25.832309,In0: -2.62	 In1: -1.87	 In0_1: 563.25	 In1_1: 559.69	 FPS: 142,-2.62,-1.87,563.25,559.69,142
UTC 2023-10-06 01:06:25.839370,In0: -2.25	 In1: -0.94	 In0_1: 564.37	 In1_1: 558.94	 FPS: 142,-2.25,-0.94,564.37,558.94,142
UTC 2023-10-06 01:06:25.845898,In0: -1.50	 In1: -2.62	 In0_1: 561.37	 In1_1: 556.31	 FPS: 142,-1.50,-2.62,561.37,556.31,142
UTC 2023-10-06 01:06:25.853037,In0: -2.62	 In1: -1.87	 In0_1: 555.37	 In1_1: 557.81	 FPS: 142,-2.62,-1.87,555.37,557.81,142
UTC 2023-10-06 01:06:25.859528,In0: 0.37	 In1: 0.00	 In0_1: 561.00	 In1_1: 561.19	 FPS: 166,0.37,0.00,561.00,561.19,166
UTC 2023-10-06 01:06:25.866410,In0: -0.56	 In1: -0.56	 In0_1: 559.31	 In1_1: 552.75	 FPS: 142,-0.56,-0.56,559.31,552.75,142
UTC 2023-10-06 01:06:25.873271,In0: -0.19	 In1: -0.94	 In0_1: 561.37	 In1_1: 555.00	 FPS: 142,-0.19,-0.94,561.37,555.00,142
UTC 2023-10-06 01:06:25.879952,In0: -0.94	 In1: -0.37	 In0_1: 559.31	 In1_1: 562.50	 FPS: 142,-0.94,-0.37,559.31,562.50,142
UTC 2023-10-06 01:06:25.886687,In0: -0.94	 In1: -0.19	 In0_1: 558.75	 In1_1: 558.00	 FPS: 142,-0.94,-0.19,558.75,558.00,142
UTC 2023-10-06 01:06:25.893542,In0: -0.75	 In1: -3.00	 In0_1: 561.00	 In1_1: 558.19	 FPS: 166,-0.75,-3.00,561.00,558.19,166
UTC 2023-10-06 01:06:25.900393,In0: -2.44	 In1: -0.37	 In0_1: 561.94	 In1_1: 559.31	 FPS: 142,-2.44,-0.37,561.94,559.31,142
UTC 2023-10-06 01:06:25.907097,In0: -2.06	 In1: -0.56	 In0_1: 562.50	 In1_1: 558.37	 FPS: 142,-2.06,-0.56,562.50,558.37,142
UTC 2023-10-06 01:06:25.913865,In0: -0.94	 In1: -0.37	 In0_1: 553.69	 In1_1: 555.00	 FPS: 142,-0.94,-0.37,553.69,555.00,142
UTC 2023-10-06 01:06:25.920800,In0: -2.44	 In1: -2.44	 In0_1: 553.50	 In1_1: 558.00	 FPS: 142,-2.44,-2.44,553.50,558.00,142
UTC 2023-10-06 01:06:25.927510,In0: -1.69	 In1: -0.37	 In0_1: 561.94	 In1_1: 561.19	 FPS: 166,-1.69,-0.37,561.94,561.19,166
UTC 2023-10-06 01:06:25.934328,In0: -3.19	 In1: -2.62	 In0_1: 557.06	 In1_1: 558.94	 FPS: 142,-3.19,-2.62,557.06,558.94,142
UTC 2023-10-06 01:06:25.941173,In0: 0.00	 In1: -1.69	 In0_1: 561.19	 In1_1: 559.12	 FPS: 142,0.00,-1.69,561.19,559.12,142
UTC 2023-10-06 01:06:25.947923,In0: -2.25	 In1: -2.25	 In0_1: 555.94	 In1_1: 557.44	 FPS: 142,-2.25,-2.25,555.94,557.44,142
UTC 2023-10-06 01:06:25.954741,In0: -1.50	 In1: -1.50	 In0_1: 561.75	 In1_1: 561.37	 FPS: 142,-1.50,-1.50,561.75,561.37,142
UTC 2023-10-06 01:06:25.961629,In0: -1.31	 In1: -1.50	 In0_1: 558.56	 In1_1: 561.19	 FPS: 166,-1.31,-1.50,558.56,561.19,166
UTC 2023-10-06 01:06:25.968477,In0: -0.56	 In1: -1.50	 In0_1: 562.31	 In1_1: 561.37	 FPS: 142,-0.56,-1.50,562.31,561.37,142
UTC 2023-10-06 01:06:25.975145,In0: -0.37	 In1: -1.31	 In0_1: 556.87	 In1_1: 554.62	 FPS: 142,-0.37,-1.31,556.87,554.62,142
UTC 2023-10-06 01:06:25.981827,In0: -0.37	 In1: -1.69	 In0_1: 560.06	 In1_1: 552.75	 FPS: 142,-0.37,-1.69,560.06,552.75,142
UTC 2023-10-06 01:06:25.988825,In0: -0.19	 In1: -0.37	 In0_1: 554.44	 In1_1: 558.94	 FPS: 142,-0.19,-0.37,554.44,558.94,142
UTC 2023-10-06 01:06:25.995534,In0: -1.31	 In1: -0.37	 In0_1: 562.12	 In1_1: 561.75	 FPS: 166,-1.31,-0.37,562.12,561.75,166
UTC 2023-10-06 01:06:26.002306,In0: -0.75	 In1: -2.06	 In0_1: 563.06	 In1_1: 559.31	 FPS: 142,-0.75,-2.06,563.06,559.31,142
UTC 2023-10-06 01:06:26.009084,In0: -1.69	 In1: -1.50	 In0_1: 555.56	 In1_1: 555.75	 FPS: 142,-1.69,-1.50,555.56,555.75,142
UTC 2023-10-06 01:06:26.016080,In0: 0.00	 In1: -1.50	 In0_1: 557.81	 In1_1: 559.50	 FPS: 142,0.00,-1.50,557.81,559.50,142
UTC 2023-10-06 01:06:26.022800,In0: -1.12	 In1: 0.19	 In0_1: 556.31	 In1_1: 554.62	 FPS: 142,-1.12,0.19,556.31,554.62,142
UTC 2023-10-06 01:06:26.029611,In0: -0.37	 In1: -1.31	 In0_1: 564.56	 In1_1: 553.31	 FPS: 166,-0.37,-1.31,564.56,553.31,166
UTC 2023-10-06 01:06:26.036321,In0: 0.00	 In1: -0.75	 In0_1: 561.75	 In1_1: 551.81	 FPS: 142,0.00,-0.75,561.75,551.81,142
UTC 2023-10-06 01:06:26.043058,In0: -1.87	 In1: -2.62	 In0_1: 558.37	 In1_1: 554.25	 FPS: 142,-1.87,-2.62,558.37,554.25,142
UTC 2023-10-06 01:06:26.049834,In0: -0.19	 In1: -1.50	 In0_1: 558.56	 In1_1: 558.19	 FPS: 142,-0.19,-1.50,558.56,558.19,142
UTC 2023-10-06 01:06:26.056661,In0: -0.94	 In1: -2.62	 In0_1: 559.69	 In1_1: 558.75	 FPS: 142,-0.94,-2.62,559.69,558.75,142
UTC 2023-10-06 01:06:26.063453,In0: -0.56	 In1: -1.50	 In0_1: 558.94	 In1_1: 552.94	 FPS: 166,-0.56,-1.50,558.94,552.94,166
UTC 2023-10-06 01:06:26.070282,In0: -0.37	 In1: -1.50	 In0_1: 559.12	 In1_1: 552.75	 FPS: 142,-0.37,-1.50,559.12,552.75,142
UTC 2023-10-06 01:06:26.077011,In0: -1.31	 In1: -0.19	 In0_1: 560.62	 In1_1: 557.81	 FPS: 142,-1.31,-0.19,560.62,557.81,142
UTC 2023-10-06 01:06:26.083778,In0: -2.25	 In1: -0.94	 In0_1: 558.75	 In1_1: 558.00	 FPS: 142,-2.25,-0.94,558.75,558.00,142
UTC 2023-10-06 01:06:26.090643,In0: -0.56	 In1: -3.00	 In0_1: 555.19	 In1_1: 559.87	 FPS: 142,-0.56,-3.00,555.19,559.87,142
UTC 2023-10-06 01:06:26.097407,In0: -1.12	 In1: -2.44	 In0_1: 565.31	 In1_1: 558.56	 FPS: 166,-1.12,-2.44,565.31,558.56,166
UTC 2023-10-06 01:06:26.104274,In0: -0.56	 In1: -0.37	 In0_1: 558.75	 In1_1: 562.31	 FPS: 142,-0.56,-0.37,558.75,562.31,142
UTC 2023-10-06 01:06:26.111036,In0: -2.81	 In1: -1.31	 In0_1: 565.12	 In1_1: 554.81	 FPS: 142,-2.81,-1.31,565.12,554.81,142
UTC 2023-10-06 01:06:26.117802,In0: -0.37	 In1: -0.56	 In0_1: 553.50	 In1_1: 559.50	 FPS: 142,-0.37,-0.56,553.50,559.50,142
UTC 2023-10-06 01:06:26.124661,In0: 0.19	 In1: -0.19	 In0_1: 560.62	 In1_1: 556.50	 FPS: 142,0.19,-0.19,560.62,556.50,142
UTC 2023-10-06 01:06:26.131468,In0: -2.44	 In1: 0.19	 In0_1: 559.87	 In1_1: 551.44	 FPS: 166,-2.44,0.19,559.87,551.44,166
UTC 2023-10-06 01:06:26.138345,In0: -1.87	 In1: -0.56	 In0_1: 558.19	 In1_1: 558.37	 FPS: 142,-1.87,-0.56,558.19,558.37,142
UTC 2023-10-06 01:06:26.144974,In0: -0.19	 In1: -2.06	 In0_1: 553.12	 In1_1: 552.37	 FPS: 142,-0.19,-2.06,553.12,552.37,142
UTC 2023-10-06 01:06:26.151829,In0: -2.06	 In1: -0.94	 In0_1: 559.87	 In1_1: 558.19	 FPS: 142,-2.06,-0.94,559.87,558.19,142
UTC 2023-10-06 01:06:26.158689,In0: -2.06	 In1: -1.50	 In0_1: 558.94	 In1_1: 558.00	 FPS: 142,-2.06,-1.50,558.94,558.00,142
UTC 2023-10-06 01:06:26.165447,In0: -1.12	 In1: -0.19	 In0_1: 560.06	 In1_1: 558.94	 FPS: 166,-1.12,-0.19,560.06,558.94,166
UTC 2023-10-06 01:06:26.172384,In0: -0.37	 In1: -1.69	 In0_1: 563.44	 In1_1: 557.62	 FPS: 142,-0.37,-1.69,563.44,557.62,142
UTC 2023-10-06 01:06:26.179074,In0: -0.75	 In1: 0.37	 In0_1: 562.87	 In1_1: 554.25	 FPS: 142,-0.75,0.37,562.87,554.25,142
