UTC 2023-10-06 06:22:42.020246,In0: 5.06	 In1: 5.25	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.06,5.25,0.37,0.19,142,PSI:1.012,PSI:1.05,PSI:0.074,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:22:42.027263,In0: 5.25	 In1: 5.44	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.56,0.00,142,PSI:1.05,PSI:1.088,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.033749,In0: 5.25	 In1: 5.44	 In0_1: 0.19	 In1_1: -0.19	 FPS: 166,5.25,5.44,0.19,-0.19,166,PSI:1.05,PSI:1.088,PSI:0.038,PSI:-0.038,PSI:33.2
UTC 2023-10-06 06:22:42.040620,In0: 5.25	 In1: 5.62	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,5.62,0.37,0.00,142,PSI:1.05,PSI:1.124,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.047303,In0: 5.06	 In1: 5.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,5.81,0.19,0.00,142,PSI:1.012,PSI:1.162,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.054075,In0: 4.87	 In1: 5.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,5.25,0.19,0.00,142,PSI:0.974,PSI:1.05,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.061076,In0: 4.87	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,4.87,5.62,0.19,0.00,166,PSI:0.974,PSI:1.124,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.067774,In0: 5.06	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.44,0.00,0.00,142,PSI:1.012,PSI:1.088,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.074463,In0: 5.25	 In1: 5.25	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.25,5.25,0.56,0.00,142,PSI:1.05,PSI:1.05,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.081215,In0: 5.25	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,5.62,0.19,0.00,142,PSI:1.05,PSI:1.124,PSI:0.038,PSI:0.0,PSI:28.4
