UTC 2023-10-06 05:59:12.891607,In0: 5.44	 In1: 6.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,6.37,0.00,0.00,142
UTC 2023-10-06 05:59:12.898519,In0: 5.25	 In1: 6.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,6.00,0.19,0.00,142
UTC 2023-10-06 05:59:12.905198,In0: 5.25	 In1: 6.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,6.94,0.00,0.00,166
UTC 2023-10-06 05:59:12.912091,In0: 5.25	 In1: 7.12	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,7.12,-0.19,0.00,142
UTC 2023-10-06 05:59:12.918784,In0: 5.06	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.75,0.00,0.00,142
UTC 2023-10-06 05:59:12.925523,In0: 5.06	 In1: 7.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.12,0.00,0.00,142
UTC 2023-10-06 05:59:12.932362,In0: 5.25	 In1: 6.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,6.37,0.00,0.00,142
UTC 2023-10-06 05:59:12.939047,In0: 5.44	 In1: 6.94	 In0_1: 0.19	 In1_1: -0.19	 FPS: 166,5.44,6.94,0.19,-0.19,166
UTC 2023-10-06 05:59:12.946001,In0: 5.25	 In1: 6.37	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,6.37,0.19,0.00,142
UTC 2023-10-06 05:59:12.952676,In0: 5.06	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.56,0.00,0.00,142
UTC 2023-10-06 05:59:12.959459,In0: 5.06	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.00,0.00,0.00,142
UTC 2023-10-06 05:59:12.966367,In0: 5.25	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,6.56,0.00,0.00,166
UTC 2023-10-06 05:59:12.972981,In0: 5.25	 In1: 6.94	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.25,6.94,0.00,-0.19,166
UTC 2023-10-06 05:59:12.980036,In0: 4.87	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,6.56,0.00,0.19,142
UTC 2023-10-06 05:59:12.986519,In0: 5.44	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,6.56,0.00,0.00,142
UTC 2023-10-06 05:59:12.993396,In0: 5.25	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,6.75,0.00,0.00,142
UTC 2023-10-06 05:59:13.000003,In0: 5.25	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.25,6.56,0.00,0.19,166
UTC 2023-10-06 05:59:13.006963,In0: 4.87	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,6.56,0.00,0.00,142
UTC 2023-10-06 05:59:13.013845,In0: 5.06	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.81,0.00,0.00,142
UTC 2023-10-06 05:59:13.020403,In0: 5.25	 In1: 6.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,6.19,0.00,0.00,142
UTC 2023-10-06 05:59:13.027326,In0: 5.25	 In1: 5.81	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.25,5.81,0.00,-0.19,166
UTC 2023-10-06 05:59:13.034078,In0: 5.25	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.25,5.62,0.00,0.19,166
UTC 2023-10-06 05:59:13.040912,In0: 5.06	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.81,0.00,0.00,142
UTC 2023-10-06 05:59:13.048380,In0: 5.25	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.62,0.00,0.00,142
UTC 2023-10-06 05:59:13.054262,In0: 5.25	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.00,0.00,142
UTC 2023-10-06 05:59:13.061171,In0: 5.25	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,5.62,0.00,0.00,166
UTC 2023-10-06 05:59:13.067877,In0: 5.06	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.00,0.00,0.00,142
UTC 2023-10-06 05:59:13.074732,In0: 5.06	 In1: 5.81	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,5.81,0.00,-0.19,142
UTC 2023-10-06 05:59:13.081776,In0: 5.06	 In1: 5.25	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,5.25,0.00,0.19,142
UTC 2023-10-06 05:59:13.088514,In0: 5.25	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,5.81,0.00,0.00,166
UTC 2023-10-06 05:59:13.095182,In0: 5.25	 In1: 5.62	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,5.62,-0.19,0.00,166
UTC 2023-10-06 05:59:13.101819,In0: 5.06	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.62,0.00,0.00,142
UTC 2023-10-06 05:59:13.108554,In0: 5.06	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,5.62,0.19,0.00,142
UTC 2023-10-06 05:59:13.115333,In0: 5.25	 In1: 6.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,6.37,0.00,0.19,142
UTC 2023-10-06 05:59:13.122049,In0: 5.25	 In1: 6.19	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.25,6.19,0.19,0.00,166
UTC 2023-10-06 05:59:13.129211,In0: 5.06	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.31,0.00,0.00,142
UTC 2023-10-06 05:59:13.135653,In0: 5.25	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.81,0.00,0.00,142
UTC 2023-10-06 05:59:13.142342,In0: 5.25	 In1: 6.19	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,6.19,0.19,0.00,142
UTC 2023-10-06 05:59:13.149272,In0: 5.25	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,6.75,0.00,0.00,166
UTC 2023-10-06 05:59:13.156012,In0: 4.87	 In1: 6.00	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,4.87,6.00,-0.19,0.19,142
UTC 2023-10-06 05:59:13.162843,In0: 5.25	 In1: 6.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,6.37,0.00,0.00,142
UTC 2023-10-06 05:59:13.169501,In0: 5.06	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.56,0.00,0.00,142
UTC 2023-10-06 05:59:13.176261,In0: 5.44	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,6.00,0.00,0.00,142
UTC 2023-10-06 05:59:13.183175,In0: 5.25	 In1: 6.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.25,6.00,0.19,0.00,166
UTC 2023-10-06 05:59:57.421101,In0_1: 0.19	 In1_1: 0.00	 FPS: 142,0.19,0.00,142
UTC 2023-10-06 05:59:57.427880,In0: 5.06	 In1: 7.87	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,7.87,0.00,0.19,142
UTC 2023-10-06 05:59:57.434628,In0: 5.25	 In1: 8.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.06,0.00,0.00,142
UTC 2023-10-06 05:59:57.441310,In0: 5.25	 In1: 7.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,7.50,0.00,0.00,166
UTC 2023-10-06 05:59:57.448195,In0: 5.06	 In1: 7.50	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,7.50,0.19,0.00,142
