UTC 2023-10-06 06:15:19.251133,In0_1: 0.19	 In1_1: -0.19	 FPS: 142,0.19,-0.19,142,PSI:0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.536221,In0: 5.25	 In1: 5.81	 In0_1: 0.37	 In1_1: 0.19	 FPS: 166,5.25,5.81,0.37,0.19,166,PSI:1.05,PSI:1.162,PSI:0.074,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:15:19.543236,In0: 5.25	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,6.00,0.00,0.00,142,PSI:1.05,PSI:1.2,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.549799,In0: 5.25	 In1: 6.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,6.37,0.00,0.00,142,PSI:1.05,PSI:1.274,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.556547,In0: 5.06	 In1: 6.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,6.00,0.19,0.00,142,PSI:1.012,PSI:1.2,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.563698,In0: 5.62	 In1: 6.00	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.62,6.00,0.37,0.00,166,PSI:1.124,PSI:1.2,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.570036,In0: 6.19	 In1: 6.37	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,6.19,6.37,0.19,0.00,142,PSI:1.238,PSI:1.274,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.577290,In0: 6.37	 In1: 6.56	 In0_1: 0.75	 In1_1: 0.00	 FPS: 142,6.37,6.56,0.75,0.00,142,PSI:1.274,PSI:1.3119999999999998,PSI:0.15,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.583745,In0: 6.19	 In1: 6.19	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,6.19,6.19,0.56,0.00,142,PSI:1.238,PSI:1.238,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.590502,In0: 5.81	 In1: 6.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.81,6.19,0.00,0.00,142,PSI:1.162,PSI:1.238,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.597686,In0: 5.62	 In1: 6.75	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.62,6.75,-0.19,0.00,166,PSI:1.124,PSI:1.35,PSI:-0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.603914,In0: 5.81	 In1: 5.62	 In0_1: 0.56	 In1_1: 0.19	 FPS: 142,5.81,5.62,0.56,0.19,142,PSI:1.162,PSI:1.124,PSI:0.11200000000000002,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:15:19.610871,In0: 6.19	 In1: 5.81	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,6.19,5.81,0.37,0.00,142,PSI:1.238,PSI:1.162,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.617210,In0: 5.81	 In1: 5.62	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.81,5.62,0.37,0.00,142,PSI:1.162,PSI:1.124,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.624017,In0: 5.81	 In1: 6.19	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.81,6.19,0.19,0.00,166,PSI:1.162,PSI:1.238,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.631119,In0: 6.19	 In1: 7.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,6.19,7.12,0.19,0.00,142,PSI:1.238,PSI:1.424,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.637713,In0: 5.62	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.62,6.56,0.00,0.00,142,PSI:1.124,PSI:1.3119999999999998,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.644573,In0: 5.44	 In1: 5.62	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.44,5.62,0.37,0.00,142,PSI:1.088,PSI:1.124,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.651405,In0: 5.44	 In1: 6.00	 In0_1: 0.37	 In1_1: -0.19	 FPS: 142,5.44,6.00,0.37,-0.19,142,PSI:1.088,PSI:1.2,PSI:0.074,PSI:-0.038,PSI:28.4
