UTC 2023-10-29 01:48:52.501317,In0: -0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,-0.00,0.00,0.00,0.00,125,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 01:48:52.506946,In0: -0.03	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.03,0.00,0.00,0.00,200,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.513384,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,-0.01,0.00,0.00,142,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:48:52.518873,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.524294,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.529844,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.02,0.00,0.00,200,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.536327,In0: 0.04	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.04,0.01,0.00,0.00,142,PSI:0.008,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:48:52.542375,In0: -0.01	 In1: 0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.04,0.00,0.00,166,PSI:-0.002,PSI:0.008,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.548792,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.00,0.00,0.00,200,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.555295,In0: -0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,-0.01,-0.02,0.00,0.00,125,PSI:-0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 01:48:52.560827,In0: 0.00	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.00,-0.03,0.00,0.00,200,PSI:0.0,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.567894,In0: 0.02	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,-0.02,0.00,0.00,166,PSI:0.004,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.577212,In0: 0.06	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.06,0.01,0.00,0.00,142,PSI:0.012,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
